"value","description","date","geography","sex","age","source_file"
62120,"diagnostics pathway waiting over 8 weeks",2020-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
61217,"diagnostics pathway waiting over 8 weeks",2020-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
60456,"diagnostics pathway waiting over 8 weeks",2020-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
62024,"diagnostics pathway waiting over 8 weeks",2020-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
60977,"diagnostics pathway waiting over 8 weeks",2020-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
58029,"diagnostics pathway waiting over 8 weeks",2020-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
55697,"diagnostics pathway waiting over 8 weeks",2020-11-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
56480,"diagnostics pathway waiting over 8 weeks",2020-12-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
56619,"diagnostics pathway waiting over 8 weeks",2021-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
48136,"diagnostics pathway waiting over 8 weeks",2021-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
41693,"diagnostics pathway waiting over 8 weeks",2021-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
40927,"diagnostics pathway waiting over 8 weeks",2021-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
41691,"diagnostics pathway waiting over 8 weeks",2021-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
42207,"diagnostics pathway waiting over 8 weeks",2021-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
45082,"diagnostics pathway waiting over 8 weeks",2021-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
47776,"diagnostics pathway waiting over 8 weeks",2021-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
48408,"diagnostics pathway waiting over 8 weeks",2021-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
47340,"diagnostics pathway waiting over 8 weeks",2021-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
45682,"diagnostics pathway waiting over 8 weeks",2021-11-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
48678,"diagnostics pathway waiting over 8 weeks",2021-12-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
48701,"diagnostics pathway waiting over 8 weeks",2022-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
43781,"diagnostics pathway waiting over 8 weeks",2022-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
41639,"diagnostics pathway waiting over 8 weeks",2022-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
45028,"diagnostics pathway waiting over 8 weeks",2022-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
45310,"diagnostics pathway waiting over 8 weeks",2022-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
43564,"diagnostics pathway waiting over 8 weeks",2022-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
43386,"diagnostics pathway waiting over 8 weeks",2022-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
44760,"diagnostics pathway waiting over 8 weeks",2022-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
45462,"diagnostics pathway waiting over 8 weeks",2022-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
43313,"diagnostics pathway waiting over 8 weeks",2022-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
43111,"diagnostics pathway waiting over 8 weeks",2022-11-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
47793,"diagnostics pathway waiting over 8 weeks",2022-12-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
48590,"diagnostics pathway waiting over 8 weeks",2023-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
43723,"diagnostics pathway waiting over 8 weeks",2023-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
44210,"diagnostics pathway waiting over 8 weeks",2023-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
47795,"diagnostics pathway waiting over 8 weeks",2023-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
50775,"diagnostics pathway waiting over 8 weeks",2023-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
49329,"diagnostics pathway waiting over 8 weeks",2023-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
46555,"diagnostics pathway waiting over 8 weeks",2023-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
50044,"diagnostics pathway waiting over 8 weeks",2023-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
51278,"diagnostics pathway waiting over 8 weeks",2023-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
47813,"diagnostics pathway waiting over 8 weeks",2023-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
47231,"diagnostics pathway waiting over 8 weeks",2023-11-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
50533,"diagnostics pathway waiting over 8 weeks",2023-12-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
49431,"diagnostics pathway waiting over 8 weeks",2024-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
42080,"diagnostics pathway waiting over 8 weeks",2024-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
39905,"diagnostics pathway waiting over 8 weeks",2024-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
40098,"diagnostics pathway waiting over 8 weeks",2024-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
40381,"diagnostics pathway waiting over 8 weeks",2024-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
42336,"diagnostics pathway waiting over 8 weeks",2024-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
41460,"diagnostics pathway waiting over 8 weeks",2024-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
43703,"diagnostics pathway waiting over 8 weeks",2024-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
43289,"diagnostics pathway waiting over 8 weeks",2024-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
40125,"diagnostics pathway waiting over 8 weeks",2024-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
40941,"diagnostics pathway waiting over 8 weeks",2024-11-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
43331,"diagnostics pathway waiting over 8 weeks",2024-12-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
43663,"diagnostics pathway waiting over 8 weeks",2025-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
37352,"diagnostics pathway waiting over 8 weeks",2025-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
35227,"diagnostics pathway waiting over 8 weeks",2025-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
38454,"diagnostics pathway waiting over 8 weeks",2025-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
43121,"diagnostics pathway waiting over 8 weeks",2025-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
40425,"diagnostics pathway waiting over 8 weeks",2025-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
42215,"diagnostics pathway waiting over 8 weeks",2025-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
46678,"diagnostics pathway waiting over 8 weeks",2025-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
47817,"diagnostics pathway waiting over 8 weeks",2025-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
44415,"diagnostics pathway waiting over 8 weeks",2025-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
42656,"diagnostics pathway waiting over 8 weeks",2025-11-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
46803,"diagnostics pathway waiting over 8 weeks",2025-12-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
67311,"diagnostics pathway total waiting",2019-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
69299,"diagnostics pathway total waiting",2019-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
69625,"diagnostics pathway total waiting",2019-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
73549,"diagnostics pathway total waiting",2019-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
